rank,stadium,capacity,city,state,year opened,type,tenant
1,Bristol Motor Speedway,"156,990",Bristol,Tennessee,1961,"Motorsports, Football","
"
2,Michigan Stadium,"107,601",Ann Arbor,Michigan,1927,Football,"Michigan Wolverines (NCAA)
"
3,Beaver Stadium,"106,572",University Park,Pennsylvania,1960,Football,"Penn State Nittany Lions (NCAA)
"
4,Ohio Stadium,"102,780",Columbus,Ohio,1922,Football,"Ohio State Buckeyes (NCAA)
"
5,Kyle Field,"102,733",College Station,Texas,1927,Football,"Texas A&M Aggies (NCAA)
"
6,Tiger Stadium,"102,321",Baton Rouge,Louisiana,1924,Football,"LSU Tigers (NCAA)
"
7,Neyland Stadium,"101,915",Knoxville,Tennessee,1921,Football,"Tennessee Volunteers (NCAA)
"
8,Darrell K Royal–Texas Memorial Stadium,"100,119",Austin,Texas,1924,Football,"Texas Longhorns (NCAA)
"
9,Bryant–Denny Stadium,"100,077",Tuscaloosa,Alabama,1929,Football,"Alabama Crimson Tide (NCAA)
"
10,Sanford Stadium,"92,746",Athens,Georgia,1929,Football,"Georgia Bulldogs (NCAA)
"
11,Rose Bowl,"92,542",Pasadena,California,1922,Football,"UCLA Bruins (NCAA) Rose Bowl Game (NCAA)
"
12,Cotton Bowl,"92,100",Dallas,Texas,1930,Football,"Red River Rivalry (NCAA) State Fair Classic (NCAA)
"
13,Ben Hill Griffin Stadium,"88,548",Gainesville,Florida,1930,Football,"Florida Gators (NCAA)
"
14,Jordan-Hare Stadium,"88,043",Auburn,Alabama,1939,Football,"Auburn Tigers (NCAA)
"
15,Memorial Stadium,"85,458",Lincoln,Nebraska,1923,Football,"Nebraska Cornhuskers (NCAA)
"
16,MetLife Stadium,"82,500",East Rutherford,New Jersey,2010,Football,"New York Giants (NFL) New York Jets (NFL)
"
17,Memorial Stadium,"81,500",Clemson,South Carolina,1942,Football,"Clemson Tigers (NCAA)
"
18,Lambeau Field,"81,441",Green Bay,Wisconsin,1957,Football,Green Bay Packers (NFL)
19,Gaylord Family Oklahoma Memorial Stadium,"80,126",Norman,Oklahoma,1925,Football,Oklahoma Sooners (NCAA)
20,AT&T Stadium,"80,000",Arlington,Texas,2009,Football,"Dallas Cowboys (NFL) Cotton Bowl Classic (NCAA) Big 12 Championship Game (NCAA)
"
21,Doak Campbell Stadium,"79,560",Tallahassee,Florida,1950,Football,"Florida State Seminoles (NCAA)
"
22,Notre Dame Stadium,"77,662",Notre Dame,Indiana,1930,Football,"Notre Dame Fighting Irish (NCAA)
"
23,Williams–Brice Stadium,"77,559",Columbia,South Carolina,1934,Football,South Carolina Gamecocks (NCAA)
24,Los Angeles Memorial Coliseum,"77,500",Los Angeles,California,1923,"Football, Motorsports","USC Trojans (NCAA)
"
25,GEHA Field at Arrowhead Stadium,"76,416",Kansas City,Missouri,1972,Football,"Kansas City Chiefs (NFL)
"
26,Donald W. Reynolds Razorback Stadium,"76,212",Fayetteville,Arkansas,1938,Football,"Arkansas Razorbacks  (NCAA) (primary)
"
27,Empower Field,"76,125",Denver,Colorado,2001,Football,"Denver Broncos (NFL)
"
28,Camp Randall Stadium,"75,822",Madison,Wisconsin,1917,Football,"Wisconsin Badgers (NCAA)
"
29,Spartan Stadium,"75,005",East Lansing,Michigan,1923,Football,"Michigan State Spartans (NCAA)
"
30,Bank of America Stadium,"74,867",Charlotte,North Carolina,1996,Football,"Carolina Panthers (NFL) Duke's Mayo Bowl (NCAA) ACC Championship Game (NCAA) Charlotte FC (MLS)
"
31,Caesars Superdome,"73,208",New Orleans,Louisiana,1975,Football,"New Orleans Saints (NFL) Sugar Bowl (NCAA) New Orleans Bowl (NCAA) Bayou Classic (NCAA)
"
32,NRG Stadium,"72,220",Houston,Texas,2002,Football,"Houston Texans (NFL) Texas Bowl (NCAA)
"
33,Highmark Stadium,"71,608",Orchard Park,New York,1973,Football,"Buffalo Bills (NFL)
"
34,Legion Field,"71,594",Birmingham,Alabama,1926,Football,"
"
35,Mercedes-Benz Stadium,"71,000",Atlanta,Georgia,2017,"Football, soccer","Atlanta Falcons (NFL) Atlanta United FC (MLS) Peach Bowl (NCAA) SEC Championship Game (NCAA)
"
36,M&T Bank Stadium,"70,745",Baltimore,Maryland,1998,Football,"Baltimore Ravens (NFL)
"
37,SoFi Stadium,"70,240",Inglewood,California,2020,Football,"Los Angeles Rams (NFL) Los Angeles Chargers (NFL)LA Bowl (NCAA)
"
