rank,stadium,capacity,city,state,year opened,type,tenant,location
1,Bristol Motor Speedway,156990,Bristol,Tennessee,1961,"Motorsports, Football","
","[36.51569895, -82.2570078627]"
2,Michigan Stadium,107601,Ann Arbor,Michigan,1927,Football,"Michigan Wolverines (NCAA)
","[42.2658652, -83.7486837676]"
3,Beaver Stadium,106572,University Park,Pennsylvania,1960,Football,"Penn State Nittany Lions (NCAA)
","[40.81207425, -77.8549431255]"
4,Ohio Stadium,102780,Columbus,Ohio,1922,Football,"Ohio State Buckeyes (NCAA)
","[40.00164575, -83.0197374422]"
5,Kyle Field,102733,College Station,Texas,1927,Football,"Texas A&M Aggies (NCAA)
","[30.6098548, -96.3403697583]"
6,Tiger Stadium,102321,Baton Rouge,Louisiana,1924,Football,"LSU Tigers (NCAA)
","[30.41197725, -91.1838302966]"
7,Neyland Stadium,101915,Knoxville,Tennessee,1921,Football,"Tennessee Volunteers (NCAA)
","[35.95507225, -83.9259786225]"
8,Darrell K Royal–Texas Memorial Stadium,100119,Austin,Texas,1924,Football,"Texas Longhorns (NCAA)
","[30.28381, -97.7326993616]"
9,Bryant–Denny Stadium,100077,Tuscaloosa,Alabama,1929,Football,"Alabama Crimson Tide (NCAA)
","[33.2076889, -87.550439913]"
10,Sanford Stadium,92746,Athens,Georgia,1929,Football,"Georgia Bulldogs (NCAA)
","[33.94977095, -83.3722668714]"
11,Rose Bowl,92542,Pasadena,California,1922,Football,"UCLA Bruins (NCAA) Rose Bowl Game (NCAA)
","[34.16134915, -118.1676673983]"
12,Cotton Bowl,92100,Dallas,Texas,1930,Football,"Red River Rivalry (NCAA) State Fair Classic (NCAA)
","[32.77961185, -96.759602529]"
13,Ben Hill Griffin Stadium,88548,Gainesville,Florida,1930,Football,"Florida Gators (NCAA)
","[29.65003685, -82.3487666081]"
14,Jordan-Hare Stadium,88043,Auburn,Alabama,1939,Football,"Auburn Tigers (NCAA)
","[32.60216155, -85.4891613143]"
15,Memorial Stadium,85458,Lincoln,Nebraska,1923,Football,"Nebraska Cornhuskers (NCAA)
","[40.8207179, -96.7047561634]"
16,MetLife Stadium,82500,East Rutherford,New Jersey,2010,Football,"New York Giants (NFL) New York Jets (NFL)
","[40.81352375, -74.0734007489]"
17,Memorial Stadium,81500,Clemson,South Carolina,1942,Football,"Clemson Tigers (NCAA)
","[34.6787829, -82.844259554]"
18,Lambeau Field,81441,Green Bay,Wisconsin,1957,Football,Green Bay Packers (NFL),"[44.50095825, -88.0610340438]"
19,Gaylord Family Oklahoma Memorial Stadium,80126,Norman,Oklahoma,1925,Football,Oklahoma Sooners (NCAA),"[35.2056786, -97.441540475]"
20,AT&T Stadium,80000,Arlington,Texas,2009,Football,"Dallas Cowboys (NFL) Cotton Bowl Classic (NCAA) Big 12 Championship Game (NCAA)
","[32.74785025, -97.0928337074]"
21,Doak Campbell Stadium,79560,Tallahassee,Florida,1950,Football,"Florida State Seminoles (NCAA)
","[30.438151, -84.3043923956]"
22,Notre Dame Stadium,77662,Notre Dame,Indiana,1930,Football,"Notre Dame Fighting Irish (NCAA)
","[41.69842305, -86.2339582321]"
23,Williams–Brice Stadium,77559,Columbia,South Carolina,1934,Football,South Carolina Gamecocks (NCAA),"[33.9730451, -81.0191180345]"
24,Los Angeles Memorial Coliseum,77500,Los Angeles,California,1923,"Football, Motorsports","USC Trojans (NCAA)
","[34.0139923, -118.2880286485]"
25,GEHA Field at Arrowhead Stadium,76416,Kansas City,Missouri,1972,Football,"Kansas City Chiefs (NFL)
",
26,Donald W Reynolds Razorback Stadium,76212,Fayetteville,Arkansas,1938,Football,"Arkansas Razorbacks  (NCAA) (primary)
","[36.0680732, -94.1788511877]"
27,Empower Field,76125,Denver,Colorado,2001,Football,"Denver Broncos (NFL)
","[39.743952, -105.0192228124]"
28,Camp Randall Stadium,75822,Madison,Wisconsin,1917,Football,"Wisconsin Badgers (NCAA)
","[43.07007075, -89.4118554568]"
29,Spartan Stadium,75005,East Lansing,Michigan,1923,Football,"Michigan State Spartans (NCAA)
","[42.7281642, -84.4850508827]"
30,Bank of America Stadium,74867,Charlotte,North Carolina,1996,Football,"Carolina Panthers (NFL) Duke's Mayo Bowl (NCAA) ACC Championship Game (NCAA) Charlotte FC (MLS)
","[35.225737, -80.852766641]"
31,Caesars Superdome,73208,New Orleans,Louisiana,1975,Football,"New Orleans Saints (NFL) Sugar Bowl (NCAA) New Orleans Bowl (NCAA) Bayou Classic (NCAA)
","[29.9510489, -90.0823076254]"
32,NRG Stadium,72220,Houston,Texas,2002,Football,"Houston Texans (NFL) Texas Bowl (NCAA)
","[29.6848581, -95.4108014533]"
33,Highmark Stadium,71608,Orchard Park,New York,1973,Football,"Buffalo Bills (NFL)
","[42.77375, -78.786972028]"
34,Legion Field,71594,Birmingham,Alabama,1926,Football,"
","[33.5114854, -86.8428269497]"
35,Mercedes-Benz Stadium,71000,Atlanta,Georgia,2017,"Football, soccer","Atlanta Falcons (NFL) Atlanta United FC (MLS) Peach Bowl (NCAA) SEC Championship Game (NCAA)
","[33.7554123, -84.40084932]"
36,M&T Bank Stadium,70745,Baltimore,Maryland,1998,Football,"Baltimore Ravens (NFL)
","[39.2779734, -76.6226651155]"
37,SoFi Stadium,70240,Inglewood,California,2020,Football,"Los Angeles Rams (NFL) Los Angeles Chargers (NFL)LA Bowl (NCAA)
","[33.95340735, -118.3390098103]"
38,Husky Stadium,70083,Seattle,Washington,1920,Football,"Washington Huskies (NCAA)
","[47.6503736, -122.3019759825]"
39,Kinnick Stadium,69250,Iowa City,Iowa,1929,Football,"Iowa Hawkeyes (NCAA)
","[41.6586246, -91.5511915353]"
40,Raymond James Stadium,69218,Tampa,Florida,1998,Football,"Tampa Bay Buccaneers (NFL) South Florida Bulls (NCAA) Tampa Bay Bowl (NCAA) Gasparilla Bowl (NCAA)
","[27.97597925, -82.5042179967]"
